categ_code;Libellé catégorie;Libéllé catégorie n2;Domaine;Autorité compétente 1;Autorité compétente 2;Commentaire;Commentaire OCTO
341;Service dédié mesures d'accompagnement social personnalisé;Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;DDETS;;;
342;Service d'information et de soutien aux tuteurs familiaux;Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;DDETS;;;
343;Equipe Préparation et Suite Reclassement (EPSR);Etablissements et Services pour Adultes Handicapés;;CD/DDETS;;;Reste à renseigner
344;Service délégué aux prestations familiales;Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;DDETS;;;
345;Service Tutelle Prestation Sociale;Etablissements et Services Sociaux d'Aide à la Famille;Social;CD;;;
346;Service de Travailleuses Familiales;Etablissements et Services Sociaux d'Aide à la Famille;;CD;;;
347;Centre d'Examens de Santé;Autres Etablissements de Soins et Prévention;Sanitaire;ARS;;;
350;Centre de formation d'auxiliaires de puériculture;Etablissements de Formation des Personnels Sanitaires;formation ;A voir en atelier ;;;Reste à renseigner
354;Service de Soins Infirmiers A Domicile (S.S.I.A.D);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Médico-social;ARS;;;
355;Centre Hospitalier (C.H.);Etablissements Hospitaliers;Sanitaire;ARS;;;
359;Centre Circonscription Sanitaire et Sociale;Etablissements et Services Sociaux d'Aide à la Famille;Social;CD;;;Reste à renseigner
362;Etablissement de Soins Longue Durée;Etablissements Hospitaliers;Sanitaire;ARS;;;
365;Etablissement de Soins Pluridisciplinaire;Etablissements Hospitaliers;Sanitaire;ARS;;;
366;Atelier Thérapeutique;Etablissements Hospitaliers;Sanitaire;ARS;;;
367;Maison d'Enfants non Conventionnée ni Habilitée;Etablissements et Services Sociaux d'Aide à la Famille;;Hors périmètre;;;Reste à renseigner
368;Service de Repas à Domicile;Etablissements et Services pour Personnes Agées;;COMMUNE;;;que signifie COMMUNE ? Hors périmètre de l'affectation ?
369;Centre Adaptation Vie Active (C.A.V.A.);Autres Etab. Accueil, Hébergement, Réadaptation et Services;;DDETS;;;Reste à renseigner
370;Etablissement Expérimental pour personnes handicapées;Etablissements et Services pour Adultes Handicapés;Médico-social;A voir en atelier ;;;Reste à renseigner
371;Service Action Socio-Educative pour Familles en difficulté;Autres Etab. Accueil, Hébergement, Réadaptation et Services;;CD;;;Reste à renseigner
373;Centre de formation supérieure des travailleurs sociaux;Etablissements de Formation des Personnels Sociaux;Formation ;A voir en atelier ;;;Reste à renseigner
374;Ecole Nationale Santé Publique (E.N.S.P.);Etablissements de Formation Polyvalente;Formation;ETAT ;;;que signifie ETAT ? Hors périmètre de l'affectation ?
375;Classe d'Adaptation;Agrégat de niveau 2 obsolète (4200);;Hors périmètre;;;Reste à renseigner
376;Classe Spéciale Ecole Primaire;Agrégat de niveau 2 obsolète (4200);;Hors périmètre;;;Reste à renseigner
377;Etablissement Expérimental pour Enfance Handicapée;Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;Message de redirection vers le 119;;;Que fait-on pour la redirection ?
378;Etablissement Expérimental Enfance Protégée;Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;Message de redirection vers le 119;;;Que fait-on pour la redirection ?
379;Etablissement Expérimental pour Adultes Handicapés;Etablissements et Services pour Adultes Handicapés;Médico-social;A voir en atelier ;;;Reste à renseigner
380;Etablissement Expérimental Autres Adultes;Autres Etab. Accueil, Hébergement, Réadaptation et Services;Médico-social;A voir en atelier ;;;Reste à renseigner
381;Etablissement Expérimental pour Personnes Agées;Etablissements et Services pour Personnes Agées;Médico-social;A voir en atelier ;;;Reste à renseigner
382;Foyer de Vie pour Adultes Handicapés;Etablissements et Services pour Adultes Handicapés;Médico-social;CD;;;
386;Ecole Secondaire Spéciale;Agrégat de niveau 2 obsolète (4200);;Hors périmètre;;;Reste à renseigner
390;Etablissement d'Accueil Temporaire d'Enfants Handicapés;Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;Message de redirection vers le 119;;;Que fait-on pour la redirection ? CD ?
393;Autre résidence But lucratif pr personnes Âgées;Etablissements et Services pour Personnes Agées;;ARS/CD;;;Reste à renseigner
394;Etablissement d'Accueil Temporaire pour Personnes Agées;Etablissements et Services pour Personnes Agées;;ARS/CD;;;Reste à renseigner
395;Etablissement d'Accueil Temporaire pour Adultes Handicapés;Etablissements et Services pour Adultes Handicapés;Médico-social;ARS/CD;;;Reste à renseigner
396;Foyer Hébergement Enfants et Adolescents Handicapés;Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;Message de redirection vers le 119;CD;;Que fait-on pour la redirection ? CD?
397;Service Auxiliaire de Vie pour Handicapés;Etablissements et Services pour Adultes Handicapés;;CD;;;Reste à renseigner
398;Crèche Parentale;Etablissements et Services Sociaux d'Aide à la Famille;;Hors périmètre;;;Reste à renseigner
399;Halte Garderie Parentale;Etablissements et Services Sociaux d'Aide à la Famille;;Hors périmètre;;;Reste à renseigner
400;Centre de Services pour Associations;Etablissements et Services Sociaux d'Aide à la Famille;Social;Hors périmètre;;;Reste à renseigner
402;Jardin d'Enfants Spécialisé;Etab.et Serv.pour l'Enfance et la Jeunesse Handicapée;Médico-social;Message de redirection vers le 119;CD;;Que fait-on pour la redirection ? CD ?
403;Service Social Spécialisé ou Polyvalent de Catégorie;Etablissements et Services Sociaux d'Aide à la Famille;Social;A voir en atelier ;;;Reste à renseigner
404;Etablissement Acc.Collect.Parental Régulier & Occasionnel;Etablissements et Services Sociaux d'Aide à la Famille;;Hors périmètre;;;Reste à renseigner
405;Service Social Polyvalent de Secteur;Etablissements et Services Sociaux d'Aide à la Famille;Social;CD;;;Reste à renseigner
411;Intermédiaire de Placement Social;Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;CD;;;
412;Appartement Thérapeutique;Etablissements Hospitaliers;Sanitaire;ARS;;;
415;Service Médico-Psychologique Régional (S.M.P.R.);Etablissements Hospitaliers;Sanitaire;ARS;;;
418;Service d'Enquêtes Sociales (S.E.S.);Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;CD;;;
420;Entreprise d'Insertion;Autres Etab. Accueil, Hébergement, Réadaptation et Services;;CD;;;Reste à renseigner
